Shipping Mode,Sales per customer,Benefit per order,Order Item Quantity,Actual Delivery Status,Predicted Delivery Status,Late Delivery Risk %,Risk Category,AI Recommendation
Second Class,189.9199982,11.97000027,4,Late,Late,80.64,High Risk,Expedite shipment immediately
Second Class,149.9400024,67.47000122,4,On Time,Late,80.4,High Risk,Expedite shipment immediately
Second Class,383.980011,188.1499939,1,Late,Late,79.54,Medium Risk,Monitor shipment closely
Standard Class,287.980011,-719.9500122,1,Late,On Time,39.89,Low Risk,Standard delivery process
Standard Class,199.9900055,67.59999847,1,On Time,On Time,39.61,Low Risk,Standard delivery process
First Class,224.9900055,4.5,1,Late,Late,95.71,High Risk,Expedite shipment immediately
Standard Class,173.9900055,-313.1799927,1,Late,On Time,40.26,Low Risk,Standard delivery process
First Class,290.980011,81.47000122,1,Late,Late,96.58,High Risk,Expedite shipment immediately
First Class,120.8899994,55.61000061,1,Late,Late,95.07,High Risk,Expedite shipment immediately
Same Day,359.980011,-31.68000031,1,Late,On Time,42.55,Low Risk,Standard delivery process
Second Class,113.0899963,22.62000084,1,Late,Late,77.56,Medium Risk,Monitor shipment closely
Standard Class,98.37999725,7.380000114,3,On Time,On Time,40.56,Low Risk,Standard delivery process
First Class,143.9400024,66.20999908,3,Late,Late,96.4,High Risk,Expedite shipment immediately
Same Day,97.48999786,45.8199997,1,Late,Late,55.69,Medium Risk,Monitor shipment closely
Standard Class,272.980011,131.0299988,1,On Time,On Time,40.87,Low Risk,Standard delivery process
Second Class,126.0899963,-10.84000015,1,Late,Late,79.66,Medium Risk,Monitor shipment closely
Standard Class,199.9900055,67.59999847,1,On Time,On Time,39.61,Low Risk,Standard delivery process
Standard Class,120.8899994,60.45000076,1,On Time,On Time,37.15,Low Risk,Standard delivery process
First Class,123.4899979,39.52000046,1,Late,Late,95.86,High Risk,Expedite shipment immediately
Standard Class,159.9900055,72.0,1,Late,On Time,41.51,Low Risk,Standard delivery process
Standard Class,95.98999786,45.11999893,1,Late,On Time,41.19,Low Risk,Standard delivery process
Standard Class,245.9799957,21.64999962,3,On Time,On Time,40.62,Low Risk,Standard delivery process
Standard Class,149.9400024,70.47000122,3,On Time,On Time,40.52,Low Risk,Standard delivery process
Second Class,263.9599915,19.79999924,5,Late,Late,83.1,High Risk,Expedite shipment immediately
Standard Class,109.1900024,39.63999939,1,On Time,On Time,40.5,Low Risk,Standard delivery process
Standard Class,79.16000366,38.0,4,Late,On Time,44.12,Low Risk,Standard delivery process
Same Day,169.9900055,45.90000153,1,On Time,On Time,49.45,Low Risk,Standard delivery process
Second Class,163.9900055,77.08000183,1,Late,Late,81.46,High Risk,Expedite shipment immediately
Second Class,284.980011,96.3199997,1,Late,Late,80.17,High Risk,Expedite shipment immediately
Standard Class,237.5599976,83.15000153,4,On Time,On Time,40.54,Low Risk,Standard delivery process
First Class,86.97000122,29.38999939,2,Late,Late,96.38,High Risk,Expedite shipment immediately
Second Class,284.980011,113.9899979,1,Late,Late,83.1,High Risk,Expedite shipment immediately
Standard Class,287.980011,75.73999786,1,On Time,On Time,41.53,Low Risk,Standard delivery process
Standard Class,146.9400024,70.52999878,3,Late,On Time,40.28,Low Risk,Standard delivery process
Standard Class,127.3899994,-1.659999967,1,On Time,On Time,39.63,Low Risk,Standard delivery process
Same Day,284.9500122,31.34000015,5,On Time,On Time,46.61,Low Risk,Standard delivery process
Second Class,103.9899979,3.849999905,1,On Time,Late,80.89,High Risk,Expedite shipment immediately
Standard Class,331.980011,149.3899994,1,Late,On Time,40.05,Low Risk,Standard delivery process
Same Day,212.4199982,-339.8599854,5,On Time,On Time,49.86,Low Risk,Standard delivery process
Standard Class,173.9900055,45.24000168,1,On Time,On Time,38.82,Low Risk,Standard delivery process
Standard Class,106.5899963,-81.76000214,1,On Time,On Time,39.84,Low Risk,Standard delivery process
Standard Class,123.4899979,-86.44000244,1,Late,On Time,40.19,Low Risk,Standard delivery process
Standard Class,103.9899979,-80.58999634,1,On Time,On Time,41.13,Low Risk,Standard delivery process
First Class,173.9900055,71.33999634,1,Late,Late,95.79,High Risk,Expedite shipment immediately
Standard Class,212.4199982,5.309999943,5,Late,On Time,40.72,Low Risk,Standard delivery process
Standard Class,195.0,62.40000153,3,On Time,On Time,39.2,Low Risk,Standard delivery process
Standard Class,433.9599915,212.6399994,1,On Time,On Time,34.51,Low Risk,Standard delivery process
Standard Class,335.980011,-72.91000366,1,Late,On Time,39.67,Low Risk,Standard delivery process
Second Class,46.47999954,15.71000004,1,Late,Late,81.45,High Risk,Expedite shipment immediately
First Class,391.980011,101.9100037,1,Late,Late,95.94,High Risk,Expedite shipment immediately
Second Class,114.3899994,10.0699997,1,Late,Late,79.22,Medium Risk,Monitor shipment closely
Standard Class,83.97000122,27.29000092,4,On Time,On Time,40.23,Low Risk,Standard delivery process
Same Day,377.9599915,102.0500031,4,On Time,Late,52.48,Medium Risk,Monitor shipment closely
First Class,97.48999786,34.11999893,1,Late,Late,96.58,High Risk,Expedite shipment immediately
Standard Class,160.0,48.0,4,Late,On Time,40.5,Low Risk,Standard delivery process
Standard Class,75.0,8.479999542,2,On Time,On Time,39.67,Low Risk,Standard delivery process
Standard Class,179.9900055,-305.980011,1,Late,On Time,42.31,Low Risk,Standard delivery process
Standard Class,224.9799957,105.7399979,3,Late,On Time,38.12,Low Risk,Standard delivery process
Standard Class,105.5699997,39.59000015,3,On Time,On Time,40.53,Low Risk,Standard delivery process
Second Class,299.980011,143.9900055,1,On Time,Late,77.28,Medium Risk,Monitor shipment closely
Standard Class,371.980011,130.1900024,1,On Time,On Time,39.96,Low Risk,Standard delivery process
Standard Class,228.7599945,50.33000183,5,Late,On Time,40.6,Low Risk,Standard delivery process
Standard Class,42.47999954,19.12000084,1,On Time,On Time,39.42,Low Risk,Standard delivery process
Standard Class,48.97999954,14.68999958,1,Late,On Time,38.76,Low Risk,Standard delivery process
Standard Class,37.49000168,3.369999886,1,On Time,On Time,40.85,Low Risk,Standard delivery process
First Class,379.980011,174.7899933,1,Late,Late,96.4,High Risk,Expedite shipment immediately
Standard Class,159.9799957,76.79000092,2,On Time,On Time,41.08,Low Risk,Standard delivery process
Standard Class,127.5,48.45000076,3,Late,On Time,40.19,Low Risk,Standard delivery process
Standard Class,167.9900055,58.79999924,1,On Time,On Time,40.53,Low Risk,Standard delivery process
Standard Class,189.9900055,51.29999924,1,On Time,On Time,39.12,Low Risk,Standard delivery process
Standard Class,97.95999908,7.840000153,2,Late,On Time,41.39,Low Risk,Standard delivery process
Standard Class,199.9900055,72.59999847,1,Late,On Time,40.65,Low Risk,Standard delivery process
Standard Class,149.9400024,-29.98999977,4,On Time,On Time,40.58,Low Risk,Standard delivery process
First Class,37.49000168,13.11999989,1,Late,Late,95.86,High Risk,Expedite shipment immediately
Standard Class,205.0,64.16999817,5,On Time,On Time,41.13,Low Risk,Standard delivery process
Standard Class,80.61000061,28.21999931,3,On Time,On Time,40.96,Low Risk,Standard delivery process
First Class,284.980011,39.90000153,1,Late,Late,96.47,High Risk,Expedite shipment immediately
Standard Class,131.9499969,65.97000122,3,Late,On Time,41.1,Low Risk,Standard delivery process
Second Class,1425.0,399.0,1,Late,Late,81.42,High Risk,Expedite shipment immediately
Standard Class,113.0899963,54.27999878,1,On Time,On Time,39.17,Low Risk,Standard delivery process
Standard Class,127.3899994,-27.63999939,1,Late,On Time,39.71,Low Risk,Standard delivery process
Standard Class,87.25,24.43000031,5,On Time,On Time,41.18,Low Risk,Standard delivery process
Second Class,165.9900055,34.86000061,1,Late,Late,80.74,High Risk,Expedite shipment immediately
Second Class,111.5800018,-80.90000153,2,On Time,Late,80.27,High Risk,Expedite shipment immediately
Standard Class,99.95999908,33.79000092,2,On Time,On Time,39.68,Low Risk,Standard delivery process
First Class,118.2900009,38.43999863,1,Late,Late,96.45,High Risk,Expedite shipment immediately
Standard Class,114.3899994,36.61000061,1,On Time,On Time,39.2,Low Risk,Standard delivery process
Standard Class,371.9599915,-272.6499939,4,Late,On Time,40.91,Low Risk,Standard delivery process
Second Class,163.9299927,55.40999985,4,Late,Late,80.04,High Risk,Expedite shipment immediately
Second Class,35.77999878,-27.44000053,1,On Time,Late,81.27,High Risk,Expedite shipment immediately
Standard Class,76.75,27.86000061,5,On Time,On Time,40.73,Low Risk,Standard delivery process
Standard Class,130.5,62.63999939,3,Late,On Time,39.05,Low Risk,Standard delivery process
Standard Class,290.980011,105.6299973,1,On Time,On Time,40.68,Low Risk,Standard delivery process
Standard Class,196.0,58.79999924,4,On Time,On Time,40.47,Low Risk,Standard delivery process
Standard Class,42.72000122,2.690000057,3,Late,On Time,40.3,Low Risk,Standard delivery process
Standard Class,131.9499969,32.99000168,3,On Time,On Time,40.53,Low Risk,Standard delivery process
Second Class,49.18999863,3.690000057,1,Late,Late,82.6,High Risk,Expedite shipment immediately
Standard Class,124.7900009,-83.23999786,1,Late,On Time,40.25,Low Risk,Standard delivery process
Standard Class,359.980011,-16.92000008,1,On Time,On Time,43.08,Low Risk,Standard delivery process
Standard Class,118.2900009,20.11000061,1,Late,On Time,40.55,Low Risk,Standard delivery process
Standard Class,224.9100037,25.40999985,5,On Time,On Time,40.29,Low Risk,Standard delivery process
Standard Class,89.95999908,17.0,2,On Time,On Time,41.72,Low Risk,Standard delivery process
Standard Class,40.0,1.600000024,1,On Time,On Time,39.61,Low Risk,Standard delivery process
Standard Class,48.5,13.57999992,1,On Time,On Time,39.3,Low Risk,Standard delivery process
Standard Class,237.4100037,68.84999847,5,Late,On Time,38.56,Low Risk,Standard delivery process
First Class,245.9799957,20.17000008,1,Late,Late,95.87,High Risk,Expedite shipment immediately
Second Class,165.9299927,62.22999954,4,On Time,Late,79.98,Medium Risk,Monitor shipment closely
Standard Class,74.68000031,-115.7600021,2,On Time,On Time,38.54,Low Risk,Standard delivery process
Standard Class,78.37999725,8.859999657,2,Late,On Time,39.97,Low Risk,Standard delivery process
Standard Class,299.980011,-494.9700012,1,On Time,On Time,41.73,Low Risk,Standard delivery process
Standard Class,187.4299927,88.08999634,5,On Time,On Time,41.12,Low Risk,Standard delivery process
Standard Class,239.9799957,-647.960022,1,Late,On Time,41.73,Low Risk,Standard delivery process
Standard Class,254.9600067,68.83999634,5,On Time,On Time,40.68,Low Risk,Standard delivery process
Standard Class,347.980011,26.10000038,1,Late,On Time,40.25,Low Risk,Standard delivery process
Standard Class,191.9199982,55.65999985,4,On Time,On Time,40.8,Low Risk,Standard delivery process
Same Day,79.97000122,37.58000183,2,Late,Late,50.92,Medium Risk,Monitor shipment closely
Standard Class,188.9799957,11.90999985,2,On Time,On Time,41.51,Low Risk,Standard delivery process
Standard Class,169.9900055,17.0,1,Late,On Time,40.45,Low Risk,Standard delivery process
Standard Class,149.9900055,43.5,1,On Time,On Time,40.16,Low Risk,Standard delivery process
Second Class,129.9900055,47.18999863,1,Late,Late,79.15,Medium Risk,Monitor shipment closely
Second Class,114.3899994,-87.73999786,1,Late,Late,81.24,High Risk,Expedite shipment immediately
First Class,117.5599976,11.76000023,5,Late,Late,96.41,High Risk,Expedite shipment immediately
Standard Class,472.4500122,231.5,5,Late,On Time,42.4,Low Risk,Standard delivery process
Standard Class,98.98999786,26.03000069,1,Late,On Time,38.09,Low Risk,Standard delivery process
Standard Class,175.7700043,33.40000153,1,On Time,On Time,39.81,Low Risk,Standard delivery process
Second Class,248.9799957,-21.40999985,1,Late,Late,79.99,Medium Risk,Monitor shipment closely
Standard Class,179.9900055,65.33999634,1,Late,On Time,39.11,Low Risk,Standard delivery process
Same Day,163.9900055,77.08000183,1,Late,On Time,38.07,Low Risk,Standard delivery process
Standard Class,449.9599915,211.4799957,5,Late,On Time,35.66,Low Risk,Standard delivery process
Second Class,395.980011,133.8399963,1,Late,Late,80.27,High Risk,Expedite shipment immediately
Standard Class,195.9199982,14.68999958,4,Late,On Time,38.3,Low Risk,Standard delivery process
Standard Class,269.980011,124.1900024,1,On Time,On Time,40.68,Low Risk,Standard delivery process
Second Class,167.9299927,58.77999878,4,On Time,Late,79.73,Medium Risk,Monitor shipment closely
Standard Class,149.3800049,-72.15000153,3,Late,On Time,40.43,Low Risk,Standard delivery process
Standard Class,189.9900055,47.5,1,Late,On Time,39.79,Low Risk,Standard delivery process
Second Class,179.9600067,82.77999878,5,Late,Late,81.56,High Risk,Expedite shipment immediately
First Class,311.3599854,0.0,1,Late,Late,96.68,High Risk,Expedite shipment immediately
First Class,189.9900055,4.75,1,Late,Late,95.86,High Risk,Expedite shipment immediately
Standard Class,14.68999958,3.819999933,1,Late,On Time,40.52,Low Risk,Standard delivery process
Standard Class,188.9499969,20.78000069,5,On Time,On Time,39.74,Low Risk,Standard delivery process
Standard Class,194.0,14.55000019,4,On Time,On Time,41.03,Low Risk,Standard delivery process
Standard Class,110.4899979,54.13999939,1,Late,On Time,44.09,Low Risk,Standard delivery process
Standard Class,107.8899994,1.289999962,1,Late,On Time,40.02,Low Risk,Standard delivery process
First Class,254.9799957,95.62000275,1,Late,Late,95.75,High Risk,Expedite shipment immediately
Standard Class,124.7900009,54.90999985,1,On Time,On Time,39.3,Low Risk,Standard delivery process
Second Class,96.95999908,47.50999832,2,On Time,Late,80.92,High Risk,Expedite shipment immediately
First Class,101.9700012,-78.20999908,3,Late,Late,97.01,High Risk,Expedite shipment immediately
Second Class,136.5,47.77999878,3,Late,Late,78.84,Medium Risk,Monitor shipment closely
Standard Class,387.6400146,112.4199982,1,On Time,On Time,41.97,Low Risk,Standard delivery process
Standard Class,116.9899979,7.369999886,1,On Time,On Time,40.38,Low Risk,Standard delivery process
Standard Class,319.980011,24.0,1,Late,On Time,37.66,Low Risk,Standard delivery process
Standard Class,97.62000275,22.45000076,3,On Time,On Time,43.22,Low Risk,Standard delivery process
Standard Class,319.980011,83.19999695,1,On Time,On Time,42.15,Low Risk,Standard delivery process
Standard Class,245.9799957,122.9899979,1,On Time,On Time,41.46,Low Risk,Standard delivery process
First Class,299.9899902,108.8899994,1,Late,Late,96.28,High Risk,Expedite shipment immediately
Standard Class,159.9900055,-11.35999966,1,Late,On Time,40.15,Low Risk,Standard delivery process
Standard Class,89.95999908,1.799999952,4,On Time,On Time,38.47,Low Risk,Standard delivery process
Standard Class,296.9700012,92.05999756,3,On Time,On Time,38.15,Low Risk,Standard delivery process
Standard Class,123.4899979,40.13000107,1,On Time,On Time,40.1,Low Risk,Standard delivery process
Standard Class,123.4899979,60.50999832,1,On Time,On Time,37.84,Low Risk,Standard delivery process
Second Class,190.0,83.59999847,4,On Time,Late,78.03,Medium Risk,Monitor shipment closely
Standard Class,199.9900055,-56.59999847,1,On Time,On Time,40.04,Low Risk,Standard delivery process
Standard Class,191.9499969,80.62000275,5,Late,On Time,42.77,Low Risk,Standard delivery process
Second Class,110.4899979,35.36000061,1,Late,Late,81.53,High Risk,Expedite shipment immediately
Standard Class,254.9600067,79.04000092,5,Late,On Time,39.95,Low Risk,Standard delivery process
First Class,110.4899979,49.72000122,1,Late,Late,95.71,High Risk,Expedite shipment immediately
Standard Class,283.480011,70.87000275,1,On Time,On Time,40.91,Low Risk,Standard delivery process
Standard Class,122.8399963,55.27999878,1,On Time,On Time,40.61,Low Risk,Standard delivery process
First Class,189.0,3.779999971,4,Late,Late,96.84,High Risk,Expedite shipment immediately
Standard Class,163.9799957,-71.5,2,Late,On Time,41.27,Low Risk,Standard delivery process
Standard Class,299.980011,93.88999939,1,On Time,On Time,38.96,Low Risk,Standard delivery process
Standard Class,427.1799927,4.269999981,1,On Time,On Time,40.77,Low Risk,Standard delivery process
Standard Class,319.9700012,153.5800018,4,Late,On Time,39.47,Low Risk,Standard delivery process
Second Class,262.2000122,16.52000046,1,Late,Late,81.94,High Risk,Expedite shipment immediately
Standard Class,151.1600037,74.0699997,4,Late,On Time,40.32,Low Risk,Standard delivery process
Standard Class,387.980011,100.8700027,1,Late,On Time,41.54,Low Risk,Standard delivery process
Standard Class,119.9899979,56.40000153,1,On Time,On Time,43.77,Low Risk,Standard delivery process
Standard Class,269.980011,94.48999786,1,On Time,On Time,41.16,Low Risk,Standard delivery process
Second Class,201.5700073,98.76999664,4,Late,Late,80.94,High Risk,Expedite shipment immediately
Second Class,196.7700043,-137.7400055,4,Late,Late,79.39,Medium Risk,Monitor shipment closely
Standard Class,169.9900055,63.75,1,On Time,On Time,40.03,Low Risk,Standard delivery process
First Class,83.97000122,8.399999619,2,Late,Late,95.76,High Risk,Expedite shipment immediately
Second Class,129.9900055,-9.75,1,Late,Late,81.31,High Risk,Expedite shipment immediately
Standard Class,287.9700012,77.75,3,Late,On Time,39.54,Low Risk,Standard delivery process
Standard Class,41.97999954,1.679999948,1,On Time,On Time,39.79,Low Risk,Standard delivery process
Second Class,327.980011,-102.9899979,1,Late,Late,80.79,High Risk,Expedite shipment immediately
Second Class,94.98999786,28.5,1,Late,Late,77.75,Medium Risk,Monitor shipment closely
Standard Class,128.6900024,60.47999954,1,Late,On Time,39.76,Low Risk,Standard delivery process
Standard Class,503.2900085,-754.9299927,1,On Time,On Time,43.18,Low Risk,Standard delivery process
Standard Class,189.9900055,70.30000305,1,Late,On Time,40.11,Low Risk,Standard delivery process
Standard Class,48.5,21.82999992,1,Late,On Time,39.63,Low Risk,Standard delivery process
Second Class,41.0,6.96999979,1,Late,Late,79.57,Medium Risk,Monitor shipment closely
Standard Class,283.4500122,79.37000275,5,On Time,On Time,40.17,Low Risk,Standard delivery process
Standard Class,47.99000168,13.43999958,1,Late,On Time,40.38,Low Risk,Standard delivery process
Standard Class,296.980011,145.5200043,1,Late,On Time,39.63,Low Risk,Standard delivery process
First Class,123.0,41.5699997,3,Late,Late,96.15,High Risk,Expedite shipment immediately
Standard Class,86.98999786,40.02000046,1,On Time,On Time,40.91,Low Risk,Standard delivery process
Standard Class,18.70000076,4.860000134,1,On Time,On Time,38.63,Low Risk,Standard delivery process
Second Class,89.98000336,8.100000381,2,Late,Late,76.89,Medium Risk,Monitor shipment closely
Standard Class,170.9700012,78.65000153,3,On Time,On Time,39.42,Low Risk,Standard delivery process
Standard Class,163.9900055,77.08000183,1,On Time,On Time,39.57,Low Risk,Standard delivery process
Standard Class,379.980011,47.5,1,On Time,On Time,39.17,Low Risk,Standard delivery process
Standard Class,263.980011,76.55000305,1,On Time,On Time,40.4,Low Risk,Standard delivery process
Standard Class,232.5,84.40000153,5,Late,On Time,37.51,Low Risk,Standard delivery process
First Class,33.18999863,7.96999979,1,Late,Late,96.91,High Risk,Expedite shipment immediately
Standard Class,191.9499969,-23.98999977,5,On Time,On Time,39.09,Low Risk,Standard delivery process
Standard Class,383.980011,176.6300049,1,Late,On Time,40.57,Low Risk,Standard delivery process
First Class,189.9799957,64.20999908,2,Late,Late,95.77,High Risk,Expedite shipment immediately
Standard Class,129.9900055,-24.44000053,1,On Time,On Time,38.82,Low Risk,Standard delivery process
Second Class,43.47999954,-17.38999939,1,Late,Late,78.5,Medium Risk,Monitor shipment closely
Standard Class,72.75,7.28000021,5,Late,On Time,40.05,Low Risk,Standard delivery process
Standard Class,293.980011,49.97999954,1,On Time,On Time,42.39,Low Risk,Standard delivery process
Standard Class,439.9599915,-87.98999786,5,On Time,On Time,38.86,Low Risk,Standard delivery process
Standard Class,299.980011,-232.4799957,1,On Time,On Time,41.18,Low Risk,Standard delivery process
Standard Class,191.9900055,92.16000366,1,On Time,On Time,39.96,Low Risk,Standard delivery process
Second Class,215.9600067,56.15000153,4,On Time,Late,76.75,Medium Risk,Monitor shipment closely
First Class,166.0,68.05999756,4,Late,Late,97.0,High Risk,Expedite shipment immediately
Standard Class,97.48999786,27.29999924,1,On Time,On Time,38.67,Low Risk,Standard delivery process
Standard Class,383.980011,38.40000153,1,On Time,On Time,40.2,Low Risk,Standard delivery process
Second Class,250.0,22.0,5,Late,Late,79.51,Medium Risk,Monitor shipment closely
Standard Class,293.9500122,99.36000061,5,Late,On Time,39.75,Low Risk,Standard delivery process
Second Class,189.9499969,94.98000336,5,Late,Late,80.9,High Risk,Expedite shipment immediately
Same Day,148.5,8.909999847,3,On Time,Late,50.03,Medium Risk,Monitor shipment closely
Standard Class,114.3899994,-51.47999954,1,On Time,On Time,40.13,Low Risk,Standard delivery process
Same Day,51.99000168,6.5,1,On Time,Late,52.64,Medium Risk,Monitor shipment closely
Second Class,107.9800034,-4.099999905,2,Late,Late,80.82,High Risk,Expedite shipment immediately
Standard Class,215.8200073,101.4400024,1,Late,On Time,39.95,Low Risk,Standard delivery process
Standard Class,106.5899963,51.15999985,1,Late,On Time,41.1,Low Risk,Standard delivery process
Standard Class,149.9900055,48.75,1,On Time,On Time,41.42,Low Risk,Standard delivery process
Second Class,132.7700043,35.84999847,4,Late,Late,80.29,High Risk,Expedite shipment immediately
Second Class,237.5,74.33999634,5,Late,Late,81.95,High Risk,Expedite shipment immediately
Standard Class,159.9400024,15.98999977,4,On Time,On Time,41.28,Low Risk,Standard delivery process
Same Day,101.9800034,37.02000046,2,On Time,On Time,47.29,Low Risk,Standard delivery process
Standard Class,165.9900055,60.25,1,On Time,On Time,40.22,Low Risk,Standard delivery process
First Class,103.9899979,29.12000084,1,Late,Late,96.09,High Risk,Expedite shipment immediately
First Class,191.9700012,60.09000015,4,Late,Late,96.76,High Risk,Expedite shipment immediately
First Class,468.6700134,5.619999886,1,Late,Late,95.65,High Risk,Expedite shipment immediately
Standard Class,143.9400024,2.880000114,3,On Time,On Time,41.33,Low Risk,Standard delivery process
Standard Class,189.9799957,-40.47000122,2,Late,On Time,41.1,Low Risk,Standard delivery process
Standard Class,189.9199982,9.5,4,On Time,On Time,40.61,Low Risk,Standard delivery process
Standard Class,191.9900055,57.59999847,1,On Time,On Time,40.67,Low Risk,Standard delivery process
Second Class,116.9899979,22.11000061,1,Late,Late,80.36,High Risk,Expedite shipment immediately
Second Class,167.9900055,30.23999977,1,Late,Late,81.32,High Risk,Expedite shipment immediately
Second Class,199.9199982,-159.9400024,5,Late,Late,84.11,High Risk,Expedite shipment immediately
Standard Class,1200.0,435.6000061,1,On Time,On Time,38.5,Low Risk,Standard delivery process
First Class,399.980011,191.9900055,1,Late,Late,96.3,High Risk,Expedite shipment immediately
Standard Class,220.0,-49.5,5,Late,On Time,41.79,Low Risk,Standard delivery process
Standard Class,141.6900024,17.70999908,3,On Time,On Time,40.78,Low Risk,Standard delivery process
Standard Class,163.9900055,36.40999985,1,On Time,On Time,39.49,Low Risk,Standard delivery process
Standard Class,188.9600067,88.80999756,5,On Time,On Time,41.39,Low Risk,Standard delivery process
First Class,59.99000168,-47.99000168,2,Late,Late,97.39,High Risk,Expedite shipment immediately
Standard Class,207.4199982,-311.1300049,5,Late,On Time,42.03,Low Risk,Standard delivery process
Standard Class,71.98000336,-115.1699982,2,Late,On Time,41.61,Low Risk,Standard delivery process
Second Class,335.980011,113.5599976,1,Late,Late,80.94,High Risk,Expedite shipment immediately
Standard Class,387.980011,-200.5899963,1,On Time,On Time,40.96,Low Risk,Standard delivery process
Standard Class,191.9700012,62.38999939,4,Late,On Time,41.06,Low Risk,Standard delivery process
Second Class,181.9900055,81.90000153,1,On Time,Late,79.88,Medium Risk,Monitor shipment closely
Standard Class,47.25,21.73999977,1,On Time,On Time,39.89,Low Risk,Standard delivery process
First Class,161.0899963,14.18000031,1,Late,Late,95.89,High Risk,Expedite shipment immediately
Standard Class,40.0,10.39999962,1,Late,On Time,39.96,Low Risk,Standard delivery process
Standard Class,38.38000107,13.8199997,2,On Time,On Time,41.4,Low Risk,Standard delivery process
Standard Class,125.9499969,35.27000046,3,Late,On Time,40.5,Low Risk,Standard delivery process
Standard Class,41.47999954,2.609999895,1,Late,On Time,37.67,Low Risk,Standard delivery process
First Class,239.9799957,115.1900024,1,Late,Late,95.69,High Risk,Expedite shipment immediately
Second Class,21.77000046,-11.97000027,1,Late,Late,80.71,High Risk,Expedite shipment immediately
Second Class,197.9900055,81.18000031,1,Late,Late,80.78,High Risk,Expedite shipment immediately
Second Class,189.9900055,21.46999931,1,Late,Late,79.73,Medium Risk,Monitor shipment closely
Standard Class,27.35000038,9.239999771,1,Late,On Time,39.09,Low Risk,Standard delivery process
Standard Class,82.97000122,1.659999967,2,On Time,On Time,40.11,Low Risk,Standard delivery process
Standard Class,37.5,-2.809999943,1,Late,On Time,42.31,Low Risk,Standard delivery process
First Class,94.45999908,-72.44999695,2,Late,Late,96.0,High Risk,Expedite shipment immediately
First Class,75.58000183,0.75999999,2,Late,Late,97.06,High Risk,Expedite shipment immediately
Standard Class,52.18999863,18.27000046,1,Late,On Time,40.25,Low Risk,Standard delivery process
Standard Class,114.3899994,7.210000038,1,Late,On Time,40.38,Low Risk,Standard delivery process
First Class,107.9700012,8.100000381,3,Late,Late,96.26,High Risk,Expedite shipment immediately
Standard Class,199.9900055,-499.980011,1,On Time,On Time,41.58,Low Risk,Standard delivery process
Second Class,371.980011,174.8300018,1,Late,Late,80.04,High Risk,Expedite shipment immediately
Standard Class,103.9899979,7.28000021,1,Late,On Time,41.18,Low Risk,Standard delivery process
Second Class,399.980011,167.9900055,1,Late,Late,76.52,Medium Risk,Monitor shipment closely
Standard Class,339.980011,38.41999817,1,Late,On Time,40.75,Low Risk,Standard delivery process
Standard Class,35.99000168,2.700000048,1,On Time,On Time,42.59,Low Risk,Standard delivery process
Standard Class,143.0099945,55.77000046,1,On Time,On Time,42.45,Low Risk,Standard delivery process
First Class,185.9799957,-148.7899933,2,Late,Late,96.88,High Risk,Expedite shipment immediately
Standard Class,93.70999908,-78.05999756,5,On Time,On Time,40.22,Low Risk,Standard delivery process
Standard Class,179.9900055,18.0,1,On Time,On Time,39.98,Low Risk,Standard delivery process
Standard Class,235.1600037,26.5699997,4,On Time,On Time,40.96,Low Risk,Standard delivery process
Standard Class,383.980011,-633.5700073,1,Late,On Time,41.9,Low Risk,Standard delivery process
Standard Class,119.9499969,33.59000015,5,Late,On Time,40.01,Low Risk,Standard delivery process
Standard Class,106.5899963,36.24000168,1,Late,On Time,44.92,Low Risk,Standard delivery process
Standard Class,31.98999977,-19.20000076,1,Late,On Time,43.98,Low Risk,Standard delivery process
Standard Class,182.0,63.70000076,4,Late,On Time,41.12,Low Risk,Standard delivery process
Second Class,38.79000092,3.880000114,1,Late,Late,80.48,High Risk,Expedite shipment immediately
Standard Class,97.98999786,46.06000137,1,Late,On Time,40.15,Low Risk,Standard delivery process
Standard Class,110.4899979,45.29999924,1,On Time,On Time,40.31,Low Risk,Standard delivery process
Standard Class,81.97000122,28.69000053,2,On Time,On Time,40.43,Low Risk,Standard delivery process
First Class,70.37999725,21.11000061,2,Late,Late,96.14,High Risk,Expedite shipment immediately
Second Class,123.0,46.13000107,3,Late,Late,79.42,Medium Risk,Monitor shipment closely
Standard Class,242.3999939,14.53999996,5,On Time,On Time,39.43,Low Risk,Standard delivery process
Standard Class,296.980011,80.18000031,1,On Time,On Time,40.53,Low Risk,Standard delivery process
Standard Class,50.97000122,23.45000076,3,Late,On Time,39.74,Low Risk,Standard delivery process
Standard Class,377.980011,-566.9699707,1,On Time,On Time,39.28,Low Risk,Standard delivery process
Second Class,97.48999786,35.38999939,1,Late,Late,79.9,Medium Risk,Monitor shipment closely
Second Class,29.96999931,9.739999771,4,On Time,Late,81.38,High Risk,Expedite shipment immediately
Standard Class,79.97000122,-66.61000061,2,Late,On Time,40.72,Low Risk,Standard delivery process
Standard Class,40.0,18.0,1,On Time,On Time,39.85,Low Risk,Standard delivery process
Standard Class,191.9700012,92.13999939,4,On Time,On Time,41.01,Low Risk,Standard delivery process
Standard Class,48.97999954,16.64999962,1,On Time,On Time,40.15,Low Risk,Standard delivery process
Standard Class,415.3299866,120.4499969,1,On Time,On Time,42.62,Low Risk,Standard delivery process
First Class,122.8399963,36.84999847,1,Late,Late,96.11,High Risk,Expedite shipment immediately
